,Player,Pos,GP,G,A,Pts,PIM,PPG,SHG,GWG,Shts,SOG,S%,SG%,GB,TOC,CTO,FO,FW,FO%,team,year
180,Curtis Corley,D,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,1.0,3.0,0.0,0.0,,Archers LC,2020
181,Stephen Kelly,M,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,23.0,3.0,0.0,81.0,40.0,49.4,Archers LC,2020
182,Matt McMahon,D,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,10.0,1.0,12.0,0.0,0.0,,Archers LC,2020
183,Mark McNeill,F,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,13.0,5.0,2.0,0.0,0.0,,Archers LC,2020
184,Tyler Pfister,M,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,4.0,2.0,0.0,0.0,,Archers LC,2020
185,Michael Simon,D,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,,5.0,2.0,1.0,0.0,0.0,,Archers LC,2020
186,Drew Adams,G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,,Archers LC,2020
187,Adam Ghitelman,G,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,5.0,0.0,1.0,0.0,0.0,,Archers LC,2020
188,Totals,,132.0,63.0,35.0,99.0,8.0,4.0,0.0,0.0,213.0,143.0,29.6,44.1,167.0,81.0,41.0,150.0,72.0,48.0,Archers LC,2020
189,Rob Pannell,A,5.0,6.0,9.0,15.0,0.0,0.0,0.0,0.0,34.0,17.0,17.6,35.3,14.0,14.0,1.0,0.0,0.0,,Atlas LC,2020
190,Bryan Costabile,M,5.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,25.0,17.0,28.0,41.2,8.0,9.0,2.0,0.0,0.0,,Atlas LC,2020
191,Chris Cloutier,A,5.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,17.0,8.0,41.2,87.5,2.0,8.0,0.0,0.0,0.0,,Atlas LC,2020
192,Eric Law,A,5.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,12.0,9.0,41.7,55.6,9.0,7.0,3.0,0.0,0.0,,Atlas LC,2020
193,Connor Buczek,"M,D",5.0,3.0,3.0,7.0,0.0,1.0,0.0,0.0,27.0,15.0,11.1,20.0,3.0,8.0,1.0,0.0,0.0,,Atlas LC,2020
194,Ryan Brown,A,5.0,6.0,0.0,6.0,0.5,2.0,0.0,0.0,23.0,15.0,26.1,40.0,5.0,3.0,0.0,0.0,0.0,,Atlas LC,2020
195,Romar Dennis,M,5.0,4.0,1.0,6.0,1.5,0.0,0.0,0.0,18.0,8.0,22.2,50.0,2.0,0.0,2.0,0.0,0.0,,Atlas LC,2020
196,John Crawley,M,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0,7.0,27.3,42.9,3.0,1.0,0.0,0.0,0.0,,Atlas LC,2020
197,Paul Rabil,M,5.0,1.0,4.0,5.0,0.5,0.0,0.0,0.0,19.0,8.0,5.3,12.5,3.0,4.0,0.0,0.0,0.0,,Atlas LC,2020
198,Trevor Baptiste,F,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,33.3,50.0,22.0,1.0,2.0,106.0,57.0,53.8,Atlas LC,2020
199,Craig Chick,D,5.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,,13.0,1.0,5.0,0.0,0.0,,Atlas LC,2020
